pregunta,A,B,C,D,respuesta
"Terminen este versículo: 'Y dará a luz un hijo, y llamarás su nombre JESÚS, porque...' (1:21)",'... él salvará a su pueblo de sus pecados','... él gobernará sobre la tierra','... él traerá paz al mundo','... él será rey de Israel',A
¿Qué pasó después que murió Herodes? (2:19-20),La familia huyó a Egipto.,Un ángel apareció a María.,Jesús comenzó su ministerio.,Un ángel le dijo a José que volviera a Israel con María y Jesús.,D
¿Qué le dijo Jesús a Juan antes que Juan lo bautizara? (3:15),'Este es el camino correcto'.,'Debemos hacer esto para cumplir la ley'.,'Así conviene que cumplamos toda justicia'.,'Este es el plan de Dios'.,C
Terminen este versículo: 'Él respondió y dijo: Escrito está: No sólo de pan vivirá el hombre...' (4:4),'... sino de toda palabra que sale de la boca de Dios'.,'... sino también de agua'.,'... sino de todo alimento espiritual'.,'... sino de cada enseñanza divina'.,A
"Según Jesús, ¿quiénes recibirán consolación? (5:4)",Los que lloran,Los pobres,Los justos,Los pacificadores,A
Terminen este versículo: 'Bienaventurados los que tienen hambre...' (5:6),"'... y sed de bondad, porque ellos recibirán'","'... y sed de justicia, porque ellos serán saciados'","'... y sed de verdad, porque ellos serán llenados'","'... y sed de paz, porque ellos serán felices'",B
¿Qué pasará a los de limpio corazón? (5:8),Verán a Dios,Serán bendecidos,Vivirán en paz,Serán llamados hijos de Dios,A
Terminen este versículo: 'Bienaventurados los que padecen persecución por causa de la justicia...' (5:10),'... porque serán recompensados'.,'... porque encontrarán paz'.,'... porque de ellos es el reino de los cielos'.,'... porque serán llamados justos'.,C
¿Por qué dijo Jesús: 'Así alumbre vuestra luz delante de los hombres' (5:16),'Para que sean ejemplos de la verdad'.,'Para que todos sigan sus pasos'.,"'Para que vean vuestras buenas obras, y glorifiquen a vuestro Padre que está en los cielos'",'Para que guíen a otros hacia Dios'.,C
¿Qué debemos hacer cuando demos limosna al necesitado? (6:3),Compartir con generosidad.,No dejar que nuestra mano izquierda sepa lo que hace la mano derecha.,Dar con alegría y gratitud.,Ayudar sin esperar nada a cambio.,B
"Según Jesús, ¿qué debe hacer la gente cuando ayuna? (6:17)",Ungirse la cabeza y lavarse el rostro.,Orar en silencio.,Meditar en la palabra de Dios.,Cantar alabanzas.,A
¿Dónde dijo Jesús que estará nuestro corazón? (6:21),En nuestras acciones,En nuestra fe,Donde esté nuestro tesoro,Con Dios,C
¿Qué debemos hacer en vez de afanarnos? (6:33),Confiar en el Señor con todo nuestro corazón.,Buscar primeramente el reino de Dios y su justicia.,Orar y pedir guía divina.,Mantener la fe y esperanza.,B
"Según Jesús, ¿cómo serán juzgadas las personas? (7:1-2)",Por su fe,Con el juicio con que ellas juzgan a otros,Según sus obras,Por sus palabras,B
¿Cómo dijo Jesús que el pueblo de Dios debe tratar a otros? (7:12),"'Todas las cosas que queráis que los hombres hagan con vosotros, así también haced vosotros con ellos'.",'Amarás a tu prójimo como a ti mismo'.,'Tratar a los demás con justicia y compasión'.,'Ser bondadosos y misericordiosos con todos'.,A
"Según Jesús, ¿quién entrará en el reino de los cielos? (7:21)",El que tiene fe y obra,El que sigue sus mandamientos,El que hace la voluntad de su Padre que está en los cielos,El que ama a Dios y al prójimo,C
¿Con quién comparó Jesús al que oye sus palabras y las hace? (7:24),A un siervo fiel y sabio,A un constructor sabio,A un maestro diligente,A un hombre prudente que edificó su casa sobre la roca,D
¿Qué sucedió cuando Jesús entró en Capernaum? (8:5),Un hombre enfermo fue sanado.,La gente se reunió para escucharlo.,Los discípulos lo recibieron con alegría.,Vino a él un centurión para rogarle por su criado.,D
¿Cuál profecía de Isaías cumplió Jesús al sanar a los enfermos y echar fuera demonios? (8:17),'El Salvador liberará a los oprimidos'.,'Dios enviará a su hijo para curar'.,'El Mesías sanará a los enfermos'.,"'Él mismo tomó nuestras enfermedades, y llevó nuestras dolencias'.",D
¿Qué dijo Jesús cuando los discípulos lo despertaron durante la tempestad? (8:26),'La paz esté con ustedes'.,'Confíen en mí'.,"'No teman, yo estoy aquí'.","'¿Por qué teméis, hombres de poca fe?'",D
¿Qué es lo que Jesús le dijo al paralítico que hiciera? (9:6),"Que se levantara, que tomara su cama y que se fuera a su casa.",Que orara y creyera.,Que tuviera fe y caminara.,Que agradeciera a Dios.,A
¿Quién tocó el borde del manto de Jesús mientras él iba a la casa del principal? (9:19-20),Un ciego que buscaba ver,Una mujer que había sangrado por 12 años,Un leproso que quería ser limpio,Un niño enfermo,B
"Terminen este versículo: 'Entonces dijo a sus discípulos: A la verdad la mies es mucha, más los obreros pocos. Rogad, pues, al Señor de la mies...' (9:37-38)",'... que envíe obreros a su mies'.,'... que bendiga a los trabajadores'.,'... que multiplique los frutos'.,'... que guíe a su pueblo'.,A
¿Cuál de estas respuestas dio Jesús a los discípulos de Juan para que le informaran? (11:4-5),'El reino de Dios se ha acercado'.,"'Los ciegos ven', 'Los leprosos son limpiados' y 'Los muertos son resucitados, y a los pobres es anunciado el evangelio'.",'El Mesías ha llegado'.,'Los milagros están entre ustedes'.,B
Terminen este versículo: 'Venid a mí todos los que estáis trabajados y cargados...' (11:28-29a),'... y encontraréis paz'.,"'... y yo os haré descansar. Llevad mi yugo sobre vosotros, y aprended de mí'",'... y yo os aliviaré'.,'... y yo os daré consuelo'.,B
Jesús usaba historias para enseñarle a la gente. ¿Qué clase de historias usaba? (13:3),Parábolas,Fábulas,Cuentos,Leyendas,A
¿Quién es como la semilla que cayó entre espinos? (13:22),"El que oye la palabra, pero el afán de este siglo y el engaño de las riquezas la ahogan y no da fruto.",El que no entiende la palabra.,El que rechaza la verdad.,El que no tiene fe.,A
¿Qué hizo el hombre que halló el tesoro escondido? (13:44),"Lo escondió de nuevo, vendió todo lo que poseía y compró el campo donde estaba el tesoro.",Lo tomó y se fue.,Lo mostró a sus amigos.,Lo guardó para sí mismo.,A
¿Por qué Jesús no hizo muchos milagros en su ciudad? (13:58),Por la falta de fe de sus discípulos.,Porque no había necesidad.,Porque no era el momento adecuado.,Por la incredulidad de la gente.,D
¿Qué dijo Jesús a sus discípulos temerosos que lo vieron caminar sobre el mar? (14:27),"'¡Tened ánimo; ¡yo soy, no temáis!'",'La paz esté con ustedes'.,"'No teman, es sólo una visión'.",'Yo estoy aquí para salvarlos'.,A
¿Por qué la mujer cananea clamó a Jesús? (15:22),Porque su hija estaba gravemente atormentada por un demonio.,Porque ella estaba enferma.,Porque su esposo había muerto.,Porque quería ser sanada.,A
¿Qué respondió Pedro cuando Jesús le preguntó quién decía que él era? (16:16),"'Tú eres el Cristo, el Hijo del Dios viviente'",'Tú eres el Salvador'.,'Tú eres el profeta prometido'.,'Tú eres el Mesías'.,A
